MesAnoEstado;IQA;area há;PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr))
202211AC;43.73604;32.06071138916015;986,4;25,9;98.0;185.0
202211AC;43.73604;2004.3457439209;986,4;25,9;98.0;185.0
202211AC;43.73604;0.528358068847656;986,4;25,9;98.0;185.0
202211AC;43.73604;3.42895758056641;986,4;25,9;98.0;185.0
202211AC;43.73604;5929.26770351563;986,4;25,9;98.0;185.0
202211AC;43.73604;32.06071138916015;987,4;25;99.0;167.0
202211AC;43.73604;2004.3457439209;987,4;25;99.0;167.0
202211AC;43.73604;0.528358068847656;987,4;25;99.0;167.0
202211AC;43.73604;3.42895758056641;987,4;25;99.0;167.0
202211AC;43.73604;5929.26770351563;987,4;25;99.0;167.0
202211AC;43.73604;32.06071138916015;988,3;24,4;99.0;152.0
202211AC;43.73604;2004.3457439209;988,3;24,4;99.0;152.0
202211AC;43.73604;0.528358068847656;988,3;24,4;99.0;152.0
202211AC;43.73604;3.42895758056641;988,3;24,4;99.0;152.0
202211AC;43.73604;5929.26770351563;988,3;24,4;99.0;152.0
202211AC;43.73604;32.06071138916015;988,9;24;99.0;61.0
202211AC;43.73604;2004.3457439209;988,9;24;99.0;61.0
202211AC;43.73604;0.528358068847656;988,9;24;99.0;61.0
202211AC;43.73604;3.42895758056641;988,9;24;99.0;61.0
202211AC;43.73604;5929.26770351563;988,9;24;99.0;61.0
202211AC;43.73604;32.06071138916015;988,9;23,8;100.0;218.0
202211AC;43.73604;2004.3457439209;988,9;23,8;100.0;218.0
202211AC;43.73604;0.528358068847656;988,9;23,8;100.0;218.0
202211AC;43.73604;3.42895758056641;988,9;23,8;100.0;218.0
202211AC;43.73604;5929.26770351563;988,9;23,8;100.0;218.0
202211AC;43.73604;32.06071138916015;988,9;23,6;100.0;344.0
202211AC;43.73604;2004.3457439209;988,9;23,6;100.0;344.0
202211AC;43.73604;0.528358068847656;988,9;23,6;100.0;344.0
202211AC;43.73604;3.42895758056641;988,9;23,6;100.0;344.0
202211AC;43.73604;5929.26770351563;988,9;23,6;100.0;344.0
202211AC;43.73604;32.06071138916015;988,5;23,8;100.0;208.0
202211AC;43.73604;2004.3457439209;988,5;23,8;100.0;208.0
202211AC;43.73604;0.528358068847656;988,5;23,8;100.0;208.0
202211AC;43.73604;3.42895758056641;988,5;23,8;100.0;208.0
202211AC;43.73604;5929.26770351563;988,5;23,8;100.0;208.0
202211AC;43.73604;32.06071138916015;988,7;25;100.0;205.0
202211AC;43.73604;2004.3457439209;988,7;25;100.0;205.0
202211AC;43.73604;0.528358068847656;988,7;25;100.0;205.0
202211AC;43.73604;3.42895758056641;988,7;25;100.0;205.0
202211AC;43.73604;5929.26770351563;988,7;25;100.0;205.0
202211AC;43.73604;32.06071138916015;989,9;21,5;98.0;239.0
202211AC;43.73604;2004.3457439209;989,9;21,5;98.0;239.0
202211AC;43.73604;0.528358068847656;989,9;21,5;98.0;239.0
202211AC;43.73604;3.42895758056641;989,9;21,5;98.0;239.0
202211AC;43.73604;5929.26770351563;989,9;21,5;98.0;239.0
202211AC;43.73604;32.06071138916015;992,5;18,4;98.0;214.0
202211AC;43.73604;2004.3457439209;992,5;18,4;98.0;214.0
202211AC;43.73604;0.528358068847656;992,5;18,4;98.0;214.0
202211AC;43.73604;3.42895758056641;992,5;18,4;98.0;214.0
202211AC;43.73604;5929.26770351563;992,5;18,4;98.0;214.0
202211AC;43.73604;32.06071138916015;995,2;17;100.0;204.0
202211AC;43.73604;2004.3457439209;995,2;17;100.0;204.0
202211AC;43.73604;0.528358068847656;995,2;17;100.0;204.0
202211AC;43.73604;3.42895758056641;995,2;17;100.0;204.0
202211AC;43.73604;5929.26770351563;995,2;17;100.0;204.0
202211AC;43.73604;32.06071138916015;997,6;14;100.0;210.0
202211AC;43.73604;2004.3457439209;997,6;14;100.0;210.0
202211AC;43.73604;0.528358068847656;997,6;14;100.0;210.0
202211AC;43.73604;3.42895758056641;997,6;14;100.0;210.0
202211AC;43.73604;5929.26770351563;997,6;14;100.0;210.0
202211AC;43.73604;32.06071138916015;998,8;14,4;99.0;213.0
202211AC;43.73604;2004.3457439209;998,8;14,4;99.0;213.0
202211AC;43.73604;0.528358068847656;998,8;14,4;99.0;213.0
202211AC;43.73604;3.42895758056641;998,8;14,4;99.0;213.0
202211AC;43.73604;5929.26770351563;998,8;14,4;99.0;213.0
